Name,Time
TurningLeft,22:23:49
TurningLeft,22:23:49
TurningLeft,22:23:49
TurningLeft,22:23:49
TurningLeft,22:23:49
NoActions,22:23:49
NoActions,22:23:49
NoActions,22:23:49
NoActions,22:23:49
NoActions,22:23:49
NoActions,22:23:49
NoActions,22:23:49
NoActions,22:23:49
TurningLeft,22:23:50
TurningLeft,22:23:50
TurningLeft,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
TurningLeft,22:23:50
TurningLeft,22:23:50
TurningLeft,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
TurningRight,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:50
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
NoActions,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
TurningRight,22:23:51
